bldngId,bldngTy,mxOccpn,units,region,geometry
1,Commercial,NA,NA,Central,"list(c(350.063899700259, 390.063256806179, 390.681020149775, 323.675499715539, 324.898085226949, 350.063899700259, 4595.66560617378, 4595.89239046128, 4486.93362237193, 4488.92390896866, 4595.18089065254, 4595.66560617378))"
2,Residental,12,"[481,498,534,652,818]",Central,"list(c(-1926.97261371843, -1948.19110739436, -1950.04345471051, -1927.96154092738, -1926.42717171934, -1990.32917142511, -1979.72918027009, -1906.11423925198, -1926.97261371843, 2725.6106868067, 2730.23967104325, 2689.39315809876, 2690.24082718552, 2650.27026662986, 2647.81722971174, 2799.38211382496, 2821.22200542207, 2725.6106868067))"
3,Commercial,NA,[382],South,"list(c(685.684600201549, 645.998457965426, 636.585390199725, 703.938070698758, 699.97494428031, 682.543855604455, 685.684600201549, 1552.13149180532, 1547.13048046618, 1621.82904059631, 1615.1228642032, 1575.31967803688, 1577.05525789083, 1552.13149180532))"
4,Commercial,NA,NA,Central,"list(c(-976.78451600603, -1053.28844990224, -1056.05554105296, -1091.34937990875, -1091.87198702662, -1131.86973978882, -1130.93759188423, -1040.11773969183, -1039.70273424972, -1039.02021939656, -971.503045987054, -976.78451600603, 4542.38209636188, 4531.35830603493, 4550.56162469403, 4549.71143553464, 4500.41136929559, 4500.83536690629, 4588.76940352576, 4590.95715233107, 4573.7290625156, 4591.04421448168, 4600.16233155501, 4542.38209636188))"
5,Residental,2,[231],East,"list(c(1259.30619887556, 1299.25514143868, 1300.81373039295, 1340.37581265608, 1350.95138432818, 1263.50725482346, 1259.30619887556, 3572.72672811126, 3574.74712116436, 3561.32297871643, 3566.0817238989, 3478.16114390816, 3489.6598503521, 3572.72672811126))"
6,Commercial,NA,NA,South,"list(c(478.896893887705, 473.659561664197, 577.700595262536, 573.758395924004, 478.896893887705, 1082.48357819031, 1138.46815749311, 1112.89403107138, 1073.0887667917, 1082.48357819031))"
7,Residental,NA,NA,South,"list(c(-1920.82250861249, -1960.81820496817, -1959.10751988771, -1919.11182353203, -1920.82250861249, 615.74473007024, 616.331477907052, 732.940414055992, 732.35366621918, 615.74473007024))"
8,Commercial,NA,[1339],North-west,"list(c(-3302.65716857277, -3301.51192533098, -3392.12817651402, -3390.83179127376, -3209.46285814849, -3209.39319160433, -3351.42064718954, -3302.65716857277, 5394.35425489809, 5354.37065303536, 5351.77514776749, 5436.32180607981, 5439.49115349478, 5399.49121416267, 5397.61160321069, 5394.35425489809))"
9,Commercial,NA,NA,Central,"list(c(-600.578902902583, -495.95058663232, -492.170220021029, -532.138392433562, -534.474248398957, -699.206833213364, -791.501461804967, -794.160477549633, -600.578902902583, 4429.22814408364, 4423.02016238465, 4328.31192296997, 4326.71655655374, 4385.23596188022, 4392.70377120726, 4386.55484842352, 4426.46637101123, 4429.22814408364))"
10,Residental,5,"[1050,1233]",Central,"list(c(-68.7590805823558, -28.7823185505349, -26.2653041521384, -129.181355416765, -128.605310864053, -67.6730941966455, -68.7590805823558, 5379.92427518586, 5381.28754238313, 5307.47803105874, 5308.96029053909, 5348.95614248242, 5348.07855968845, 5379.92427518586))"
11,Residental,12,"[1390,1459,1499,1563,1650]",North-west,"list(c(-4643.8065793782, -4645.87633549004, -4561.71061630639, -4559.64086019455, -4643.8065793782, 7582.33604186348, 7622.28245734269, 7626.64336205962, 7586.69694658041, 7582.33604186348))"
12,Commercial,NA,NA,North-west,"list(c(-3685.59436303634, -3725.35465273072, -3733.34471081431, -3653.40141930549, -3659.78104138499, -3687.8390809743, -3685.59436303634, 6143.65993375064, 6139.2873643207, 6211.94190512758, 6199.02637967151, 6159.53840147405, 6164.07141878825, 6143.65993375064))"
13,Residental,5,"[18,172]",South,"list(c(-749.058510938387, -709.2812490683, -717.839616598124, -757.616878468211, -749.058510938387, 1334.26207861685, 1330.04669748124, 1249.2880625056, 1253.50344364122, 1334.26207861685))"
14,Residental,1,[214],South,"list(c(-1807.49535771013, -1812.01019566243, -1748.1416293298, -1740.44681831954, -1766.91695751964, -1762.43764476321, -1802.38396394037, -1807.49535771013, 1696.67865236345, 1785.00443274817, 1778.70315936519, 1688.8283279771, 1686.56203478451, 1600.18876990282, 1598.11715599188, 1696.67865236345))"
15,Commercial,NA,NA,Central,"list(c(-2126.6389567608, -2126.48061698419, -2046.24164759516, -2045.70494671622, -2125.32665256396, -2126.6389567608, 4784.6473012342, 4824.64698783941, 4824.32935983863, 4754.88089494714, 4756.85337661178, 4784.6473012342))"
16,Commercial,NA,NA,South,"list(c(-521.379376980155, -516.435729970536, -430.368744944953, -410.008333895923, -521.379376980155, 1273.06458516406, 1350.54725289903, 1352.08833518557, 1263.77156526898, 1273.06458516406))"
17,Commercial,NA,"[837,883]",Central,"list(c(-2327.99335276259, -2244.69692105623, -2058.7903621418, -2054.53128664466, -2244.95908167646, -2419.41006002493, -2412.72687914417, -2327.99335276259, 5290.65475508495, 5284.37026888702, 5300.11683966151, 5260.34423255675, 5244.27636400223, 5265.57609471796, 5305.01383163725, 5290.65475508495))"
18,Residental,9,"[145,227,247]",East,"list(c(2001.11519634448, 1998.68671710108, 2069.01198345354, 2070.65740674648, 2002.87649159825, 2001.11519634448, 4438.47939932059, 4478.67601507655, 4474.7687622085, 4408.11783253958, 4409.3261303597, 4438.47939932059))"
19,Residental,NA,NA,East,"list(c(2474.28067403122, 2514.25301032911, 2510.99376743065, 2471.02143113277, 2474.28067403122, 5499.71171979928, 5498.22432916836, 5410.63499620856, 5412.12238683949, 5499.71171979928))"
20,Residental,1,[94],South,"list(c(-1771.83532248336, -1690.41628555517, -1689.57853470986, -1649.58087207554, -1650.86511606667, -1812.43926135763, -1810.98142884007, -1770.98689761835, -1771.83532248336, 1841.3320861276, 1835.80679293521, 1913.2971224292, 1912.86470620512, 1794.07462609978, 1805.14386662811, 1893.29602228669, 1892.63460535702, 1841.3320861276))"
21,Residental,13,"[1388,1404,1426,1484,1534,1555,1632]",North-west,"list(c(-4562.64607890572, -4602.61462326694, -4606.0913840673, -4566.12283970608, -4562.64607890572, 7112.89188603888, 7111.30586534385, 7198.92204129803, 7200.50806199305, 7112.89188603888))"
22,Residental,7,"[451,661,733]",Central,"list(c(-2473.13650883687, -2433.13872172882, -2432.03673207461, -2557.05294826559, -2555.30081990087, -2472.4787703304, -2473.13650883687, 3132.3065332574, 3132.72727838083, 3027.96754349608, 3033.44891609465, 3073.41052324693, 3069.77916623658, 3132.3065332574))"
23,Commercial,NA,NA,North-west,"list(c(-2771.66816635607, -2770.8480467719, -2635.48443879601, -2636.30455838017, -2771.66816635607, 5873.80163786878, 5913.79322953337, 5911.01728735995, 5871.02569569536, 5873.80163786878))"
24,Residental,5,"[326,327,331]",East,"list(c(1262.92108073464, 1222.92142403652, 1223.104086972, 1207.722065916, 1207.73327063475, 1167.73327206644, 1167.7105333742, 1263.2581959511, 1262.92108073464, 3199.44963977172, 3199.61536253118, 3243.7037830618, 3244.85211602137, 3202.97368637379, 3202.96298423578, 3287.95045644192, 3280.81741912857, 3199.44963977172))"
25,Commercial,NA,NA,South,"list(c(-472.265869001122, -481.394568896596, -399.846195343747, -422.17689557762, -461.069090903331, -453.907124358512, -472.265869001122, 1592.11017764827, 1631.05458466928, 1650.16979750912, 1557.26969727468, 1566.61834117349, 1596.4135290951, 1592.11017764827))"
26,Commercial,NA,[1761],North-west,"list(c(-3773.35918408595, -3797.41685900084, -3836.46727612492, -3808.46441515723, -3842.27627067586, -3852.28661082453, -3755.87020430655, -3773.35918408595, 5942.50826706949, 5834.07543292401, 5842.73943444962, 5969.69796090357, 5960.95814740337, 5999.6853095781, 6024.60737902389, 5942.50826706949))"
27,Commercial,74,[1346],North-west,"list(c(-3533.67165484092, -3625.64694144126, -3625.23383305655, -3433.39581503776, -3434.40439928028, -3533.67165484092, 4790.40195229116, 4791.35189700584, 4831.34976371724, 4827.8854539495, 4787.89817149838, 4790.40195229116))"
28,Commercial,NA,[1775],North-west,"list(c(-4190.49823325222, -4117.92938121883, -4110.73557490138, -4185.59555033218, -4190.49823325222, 5122.42419150814, 5119.86872323632, 5036.12762908146, 5040.00329330883, 5122.42419150814))"
29,Commercial,64,[443],East,"list(c(1825.12208637553, 1785.22587085151, 1794.6382603402, 1834.53447586422, 1825.12208637553, 4272.52892762386, 4275.4085086456, 4405.81592444705, 4402.9363434253, 4272.52892762386))"
30,Residental,12,"[463,513,728,743]",Central,"list(c(-1341.97984842397, -1302.03051182044, -1297.10546436299, -1337.05480096652, -1341.97984842397, 3770.10160322553, 3772.11418985418, 3674.35324090143, 3672.34065427279, 3770.10160322553))"
